Country,2019_LE,2010-2018_gini,2019_scho_y,2017_health_exp,log_2019_GDP
 Sweden,82.8,28.8,12.5,11.0,4.725952447527624
 Switzerland,83.8,32.7,13.4,12.3,4.836501342594297
 Tajikistan,71.1,34.0,10.7,7.2,3.5289167002776547
 Tanzania (United Republic of),65.5,40.5,6.1,3.6,3.424881636631067
 Thailand,77.2,36.4,7.9,3.7,4.266302269690385
 Timor-Leste,69.5,28.7,4.8,3.9,3.4945719842301988
 Togo,61.0,43.1,5.0,6.2,3.2030328870147105
 Tonga,70.9,37.6,11.2,5.3,3.797059694699971
 Tunisia,76.7,32.8,7.2,7.2,4.031650793551264
 Turkey,77.7,41.9,8.1,4.2,4.4497405937792855
 Uganda,63.4,42.8,6.2,6.2,3.3386556655787003
 Ukraine,72.1,26.1,11.4,7.0,4.107549129744687
 United Arab Emirates,78.0,32.5,12.1,3.3,4.82684547735406
 United Kingdom,81.3,34.8,13.2,9.6,4.669307580798836
 United States,78.9,41.4,13.4,17.1,4.797149773569802
 Uruguay,77.9,39.7,8.9,9.3,4.33366889957641
 Vanuatu,70.5,37.6,7.1,3.3,3.4974825373673704
 Viet Nam,75.4,35.7,8.3,5.5,3.9053100621160857
 Zambia,63.9,57.1,7.2,4.5,3.541454428747589
 Zimbabwe,61.5,44.3,8.5,6.6,3.452706226511029
